sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011024320232,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットノースリーブ/S/WHITE,（未使用）,（未使用）,11550,S,WHITE,2011024320232,0,0,1,4,1,1,1,1,,,
2011024320249,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットノースリーブ/M/WHITE,（未使用）,（未使用）,11550,M,WHITE,2011024320249,0,0,1,4,1,1,1,1,,,
2011024320430,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットノースリーブ/S/BEIGE,（未使用）,（未使用）,11550,S,BEIGE,2011024320430,0,0,1,4,1,1,1,1,,,
2011024320447,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットノースリーブ/M/BEIGE,（未使用）,（未使用）,11550,M,BEIGE,2011024320447,0,0,1,4,1,1,1,1,,,
2011024330231,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットワンピース/S/WHITE,（未使用）,（未使用）,13650,S,WHITE,2011024330231,0,0,1,4,1,1,1,1,,,
2011024330248,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットワンピース/M/WHITE,（未使用）,（未使用）,13650,M,WHITE,2011024330248,0,0,1,4,1,1,1,1,,,
2011024330835,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットワンピース/S/NAVY,（未使用）,（未使用）,13650,S,NAVY,2011024330835,0,0,1,4,1,1,1,1,,,
2011024330842,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×ジョーゼットワンピース/M/NAVY,（未使用）,（未使用）,13650,M,NAVY,2011024330842,0,0,1,4,1,1,1,1,,,
2011024650131,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×天竺キャミソール/S/BLACK,（未使用）,（未使用）,5780,S,BLACK,2011024650131,0,0,1,4,1,1,1,1,,,
2011024650148,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×天竺キャミソール/M/BLACK,（未使用）,（未使用）,5780,M,BLACK,2011024650148,0,0,1,4,1,1,1,1,,,
2011024650230,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レース×天竺キャミソール/S/WHITE,（未使用）,（未使用）,5780,S,WHITE,2011024650230,0,0,1,4,1,1,1,1,,,
